Title,Artist Name,Year Created,Url,Refrence No
Ein Hund und vier Pferde,"Carl Reichert (Austrian, 1836-1918)",None,https://artvee.com/dl/ein-hund-und-vier-pferde/,701142an.jpg
Twee paarden staand voor een stal (1851 - 1936),"Wouterus Verschuur (Dutch, 1812-1874)",1851 - 1936,https://artvee.com/dl/twee-paarden-staand-voor-een-stal/,705669an.jpg
Gevogelte bij een bergstroom (1683),"Herman Henstenburgh (Dutch, 1667-1726)",1683,https://artvee.com/dl/gevogelte-bij-een-bergstroom/,703062an.jpg
Hühnerhof,"Geza Vastagh (Hungarian, 1866-1919)",None,https://artvee.com/dl/huhnerhof-2/,701207an.jpg
"Die Insekten, Tausendfüssler und Spinnen Pl 15 (1877)","Alfred Edmund Brehm (German, 1829-1884)",1877,https://artvee.com/dl/die-insekten-tausendfu%cc%88ssler-und-spinnen-pl-15/,702922an.jpg
"Stag, or Red Deer. (1898)","John George Wood (English, 1827 – 1889)",1898,https://artvee.com/dl/stag-or-red-deer/,706277an.jpg
Colonel Thornton’s Hound ‘lucifer’ In A Scottish Landscape,"George Garrard (English, 1760-1826)",None,https://artvee.com/dl/colonel-thorntons-hound-lucifer-in-a-scottish-landscape/,704300an.jpg
Stable Interior (1780),"Tethart Philip Christian Haag (Dutch, 1737-1812)",1780,https://artvee.com/dl/stable-interior/,705587an.jpg
Study Of A Ram’s Head,"Thomas Sidney Cooper (English, 1803 - 1902)",None,https://artvee.com/dl/study-of-a-rams-head/,702830an.jpg
The cabinet of oriental entomology Pl XV (1848),"John Obadiah Westwood (English, 1805 – 1893)",1848,https://artvee.com/dl/the-cabinet-of-oriental-entomology-pl-xv/,703217an.jpg
"Portrait Of A Gyrfalcon, Viewed From Three Sides (1540 - 1560)",Lombard Master,1540 - 1560,https://artvee.com/dl/portrait-of-a-gyrfalcon-viewed-from-three-sides/,702708an.jpg
"De uitlandsche kapellen voorkomende in de drie waereld-deelen, Asia, Africa en America pl94 (1779-1782)","Pieter Cramer (Dutch, 1721– 1776)",1779-1782,https://artvee.com/dl/de-uitlandsche-kapellen-voorkomende-in-de-drie-waereld-deelen-asia-africa-en-america-pl94/,706780an.jpg
Studies Of Five Butterflies And A Hawk Moth,"Jan Van Kessel The Elder (Flemish, 1626 - 1679)",None,https://artvee.com/dl/studies-of-five-butterflies-and-a-hawk-moth/,702554an.jpg
Scolopax rusticula,"Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/scolopax-rusticula/,704177an.jpg
"L’Aracari, à cinture [ceinture] rouge, dans son extrême viellesse. (1806)","Jacques Barraband (French, 1767 – 1809)",1806,https://artvee.com/dl/laracari-a-cinture-ceinture-rouge-dans-son-extreme-viellesse/,700271an.jpg
Sclater’s Impeyan Pheasant (1918-1922),"George Edward Lodge (English, 1860 – 1954)",1918-1922,https://artvee.com/dl/sclaters-impeyan-pheasant/,702398an.jpg
Weißgefleckter Pfau,"Carl Moser (Austrian, 1873 - 1939)",None,https://artvee.com/dl/weisgefleckter-pfau/,701135an.jpg
The Tarpan. Wild Horse. Native to Russia (1837),"Charles Hamilton Smith (English, 1776-1859)",1837,https://artvee.com/dl/the-tarpan-wild-horse-native-to-russia/,705039an.jpg
Triton ingens (1842),"John Edwards Holbrook (American, 1796 – 1871)",1842,https://artvee.com/dl/triton-ingens/,706241an.jpg
