Title,Artist Name,Year Created,Url,Refrence No
"John Poulett, first Earl Poulett (ca. 1680)","John Closterman (German, 1660 - 1711)",ca. 1680,https://artvee.com/dl/john-poulett-first-earl-poulett/,204773DI03fg.jpg
Kalmistul (1943),"Johannes Greenberg (Estonian, 1887 – 1951)",1943,https://artvee.com/dl/kalmistul/,242241fg.jpg
L’enfant endormi,"Jean Léon Pallière (French, 1823–1887)",None,https://artvee.com/dl/lenfant-endormi/,220275fg.jpg
"Rev. James McCosh, D.D.(1811-1894) (1891)",Alban Jasper Conant,1891,https://artvee.com/dl/rev-james-mccosh-d-d-1811-1894/,242870fg.jpg
Young Woman With A Parasol (1855),"Johan Barthold Jongkind (Dutch, 1819-1891)",1855,https://artvee.com/dl/young-woman-with-a-parasol/,208325fg.jpg
"La conversation, chez les Natanson à Valvins (1896)","Édouard Vuillard (French, 1868-1940)",1896,https://artvee.com/dl/la-conversation-chez-les-natanson-a-valvins/,243026fg.jpg
Un Regard Par Le Trou De La Serrure (Through The Keyhole),"Hans Zatzka (Austrian, 1859 – 1945)",Through The Keyhole,https://artvee.com/dl/un-regard-par-le-trou-de-la-serrure-through-the-keyhole/,214300fg.jpg
Slave Market in Ancient Rome (1884),"Jean-Léon Gérôme (French, 1824-1904)",1884,https://artvee.com/dl/slave-market-in-ancient-rome/,201696fg.jpg
Washerwomen in Arles (1888),"Paul Gauguin (French, 1848-1903)",1888,https://artvee.com/dl/washerwomen-in-arles/,237188fg.jpg
Children,"Jacques-Émile Blanche (French, 1861-1942)",None,https://artvee.com/dl/children-4/,241133fg.jpg
Kaiser Maximilian I. (1870),"Karl von Blaas (Austrian, 1815 – 1894)",1870,https://artvee.com/dl/kaiser-maximilian-i/,223152fg.jpg
The widow’s penny (1839-1883),"Édouard-Louis Dubufe (French, 1819/1820-1883)",1839-1883,https://artvee.com/dl/the-widows-penny/,212676fg.jpg
Portrait of Wife with Daughter Anna (1887),"Antoni Gramatyka (Polish, 1841-1922)",1887,https://artvee.com/dl/portrait-of-wife-with-daughter-anna/,229488fg.jpg
Kosakenpatrouille,"Ludwig Gedlek (Austrian, 1847 - 1904)",None,https://artvee.com/dl/kosakenpatrouille/,235420fg.jpg
Dance at the Palace (1894),"Eugenio Lucas Villamil (Spanish, 1858-1918)",1894,https://artvee.com/dl/dance-at-the-palace/,220038fg.jpg
Haveexteriør med siddende kvinde i lys kjole,"Henrik Schouboe (Danish, 1876 - 1949)",None,https://artvee.com/dl/haveexterior-med-siddende-kvinde-i-lys-kjole/,233576fg.jpg
In the Conservatory,"Aloysius O'Kelly (Irish, 1853-1936)",None,https://artvee.com/dl/in-the-conservatory-2/,245507fg.jpg
Zoon van kapitein Erié met viool (1778),"Abraham-Louis-Rodolphe Ducros (Swiss, 1748–1810)",1778,https://artvee.com/dl/zoon-van-kapitein-erie-met-viool/,233758fg.jpg
Le Sulfateur (Study for ‘Le Sulfatage’),"Henri Martin (French, 1860 – 1943)",Study for ‘Le Sulfatage’,https://artvee.com/dl/le-sulfateur-study-for-le-sulfatage/,228632fg.jpg
"Konstnärens farmor, Friherrinnan von Dardel","Nils Dardel (Swedish, 1888-1943)",None,https://artvee.com/dl/konstnarens-farmor-friherrinnan-von-dardel/,239607fg.jpg
Portrait of Antonio Canova (ca. 1818),"Sir Thomas Lawrence (English, 1769 - 1830)",ca. 1818,https://artvee.com/dl/portrait-of-antonio-canova-2/,219661fg.jpg
Transport of colonial soldiers (1883-1884),"Isaac Israëls (Dutch, 1865 – 1934)",1883-1884,https://artvee.com/dl/transport-of-colonial-soldiers/,210356fg.jpg
Two young women reading a Letter,"Pierre Alexandre Wille (French, 1748-1837)",None,https://artvee.com/dl/two-young-women-reading-a-letter/,243498fg.jpg
Genreszene (1784),"Adam Johann Braun (Austrian, 1748–1827)",1784,https://artvee.com/dl/genreszene-2/,219800fg.jpg
Portrait of a Philosopher (1630-1704),"Johann Ulrich Mayr (German, 1630 - 1704)",1630-1704,https://artvee.com/dl/portrait-of-a-philosopher/,201778fg.jpg
On a rainy day,"Vincenzo Irolli (Italian, 1860-1949)",None,https://artvee.com/dl/on-a-rainy-day/,237808fg.jpg
Woman Bathing in a Shallow Tub (1885),"Edgar Degas (French, 1834-1917)",1885,https://artvee.com/dl/woman-bathing-in-a-shallow-tub/,227172fg.jpg
Church Boats at Leksand (1860),"Josef Wilhelm Wallander (Swedish, 1821-1888)",1860,https://artvee.com/dl/church-boats-at-leksand/,531762ld.jpg
A warrior saint (circa 1610),"Jusepe de Ribera (Spanish, 1591-1652)",circa 1610,https://artvee.com/dl/a-warrior-saint/,244236fg.jpg
Study of a Seated Violinist (1919),"Ladislav Treskoň (Slovak, 1900 - 1923)",1919,https://artvee.com/dl/study-of-a-seated-violinist/,218385fg.jpg
Portrait of Machteld Muilman (c. 1745 - c. 1747),"Frans van der Mijn (Dutch, 1719 - 1783)",c. 1745 - c. 1747,https://artvee.com/dl/portrait-of-machteld-muilman/,231437fg.jpg
Selbstbildnis (1920-1930),"Karl Tratt (German, 1900-1937)",1920-1930,https://artvee.com/dl/selbstbildnis-36/,226182fg.jpg
Capital And Labour (1874),"Henry Stacy Marks (English, 1829 – 1898)",1874,https://artvee.com/dl/capital-and-labour/,219051fg.jpg
Gustavus Franklin Swift (1904),Ralph Elmer Clarkson,1904,https://artvee.com/dl/gustavus-franklin-swift/,242024fg.jpg
